"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","10/08/07","Stuttgart","Schalke 04",2,2,"D",0,1,"A",0,16,10,7,4,0,0,9,0,19,23,0,0,4,3,0,0
"D1","11/08/07","Bayern Munich","Hansa Rostock",3,0,"H",1,0,"H",0,27,6,13,0,0,0,4,1,14,13,0,0,0,3,0,0
"D1","11/08/07","Bochum","Werder Bremen",2,2,"D",0,2,"A",0,17,20,4,9,0,0,7,6,15,17,0,0,1,2,0,0
"D1","11/08/07","Ein Frankfurt","Hertha",1,0,"H",1,0,"H",0,19,10,5,3,0,0,6,5,13,13,0,0,2,1,0,0
"D1","11/08/07","Hannover","Hamburg",0,1,"A",0,1,"A",0,10,14,2,8,0,0,6,4,20,18,0,0,3,1,0,0
"D1","11/08/07","Leverkusen","Cottbus",0,0,"D",0,0,"D",0,21,10,7,5,0,0,7,2,21,16,0,0,3,3,0,0
"D1","11/08/07","Wolfsburg","Bielefeld",1,3,"A",0,1,"A",0,13,13,4,8,0,0,7,7,14,3,0,0,1,0,0,0
"D1","12/08/07","Dortmund","Duisburg",1,3,"A",0,1,"A",0,12,7,4,4,0,0,6,2,19,34,0,0,3,4,0,0
"D1","12/08/07","Nurnberg","Karlsruhe",0,2,"A",0,1,"A",0,19,11,7,7,0,0,2,4,17,22,0,0,1,2,0,0
"D1","17/08/07","Karlsruhe","Hannover",1,2,"A",1,0,"H",0,6,10,1,3,0,0,4,3,25,17,0,0,3,5,0,0
"D1","18/08/07","Bielefeld","Ein Frankfurt",2,2,"D",0,0,"D",0,10,22,3,7,0,0,3,8,16,14,0,0,0,1,0,0
"D1","18/08/07","Duisburg","Wolfsburg",1,3,"A",0,1,"A",0,16,12,3,6,0,0,5,3,17,26,0,0,2,2,0,0
"D1","18/08/07","Hansa Rostock","Nurnberg",1,2,"A",0,2,"A",0,11,8,1,4,0,0,5,5,10,23,0,0,2,2,0,0
"D1","18/08/07","Hertha","Stuttgart",3,1,"H",0,1,"A",0,12,20,6,2,0,0,7,5,16,19,0,0,1,2,0,0
"D1","18/08/07","Schalke 04","Dortmund",4,1,"H",2,0,"H",0,20,9,11,4,0,0,8,0,13,22,0,0,2,3,0,1
"D1","18/08/07","Werder Bremen","Bayern Munich",0,4,"A",0,1,"A",0,17,14,1,6,0,0,5,6,26,22,0,0,1,1,0,0
