"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D2","11/08/00","Hannover","Nurnberg",1,1,"D",0,0,"D",20329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"D2","11/08/00","Stuttgarter K","Oberhausen",1,0,"H",1,0,"H",5400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0
"D2","12/08/00","Ahlen","St Pauli",3,6,"A",2,2,"D",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0
"D2","12/08/00","M'gladbach","Saarbrucken",0,0,"D",0,0,"D",28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"D2","13/08/00","Bielefeld","Osnabruck",3,1,"H",1,1,"D",21258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0
"D2","13/08/00","Greuther Furth","Chemnitz",4,1,"H",1,0,"H",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"D2","13/08/00","Mannheim","Aachen",3,0,"H",1,0,"H",7400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
"D2","13/08/00","Reutlingen","Mainz",3,2,"H",1,1,"D",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,0
"D2","14/08/00","Duisburg","Ulm",1,2,"A",0,1,"A",8550,11,5,6,2,0,0,10,3,22,26,0,1,3,1,0,1
"D2","18/08/00","Chemnitz","Hannover",0,2,"A",0,0,"D",7020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"D2","18/08/00","St Pauli","Mannheim",5,0,"H",4,0,"H",17390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1
"D2","19/08/00","Aachen","Reutlingen",4,1,"H",1,0,"H",15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
"D2","19/08/00","Osnabruck","M'gladbach",1,3,"A",1,0,"H",19711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0
"D2","20/08/00","Mainz","Stuttgarter K",2,2,"D",1,2,"A",5668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,0
"D2","20/08/00","Nurnberg","Ahlen",2,0,"H",2,0,"H",21700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0
"D2","20/08/00","Oberhausen","Duisburg",1,0,"H",1,0,"H",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0
"D2","20/08/00","Saarbrucken","Greuther Furth",2,1,"H",1,1,"D",18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"D2","21/08/00","Ulm","Bielefeld",0,1,"A",0,1,"A",11000,16,11,5,9,1,0,6,4,21,18,2,2,0,4,0,0
"D2","04/09/00","M'gladbach","Ulm",5,0,"H",2,0,"H",18800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,1
"D2","05/09/00","Bielefeld","Oberhausen",2,0,"H",2,0,"H",12030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
"D2","05/09/00","Chemnitz","Saarbrucken",1,3,"A",0,2,"A",5325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0
"D2","05/09/00","Duisburg","Mainz",0,0,"D",0,0,"D",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0
"D2","05/09/00","Hannover","Ahlen",1,1,"D",0,1,"A",11587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0
"D2","05/09/00","Reutlingen","St Pauli",2,0,"H",0,0,"D",8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0
"D2","06/09/00","Greuther Furth","Osnabruck",2,0,"H",1,0,"H",5806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0
"D2","06/09/00","Mannheim","Nurnberg",1,4,"A",0,2,"A",8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,0
"D2","06/09/00","Stuttgarter K","Aachen",0,3,"A",0,0,"D",4115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"D2","08/09/00","Mainz","Bielefeld",2,4,"A",2,4,"A",5300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"D2","08/09/00","Saarbrucken","Hannover",2,1,"H",1,0,"H",13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0
"D2","09/09/00","Ahlen","Mannheim",1,2,"A",1,0,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0
