"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","05/08/05","Bayern Munich","M'gladbach",3,0,"H",1,0,"H",0,19,10,0,0,0,0,5,9,15,18,0,0,4,2,1,0
"D1","06/08/05","Duisburg","Stuttgart",1,1,"D",1,1,"D",0,11,11,0,0,0,0,5,4,19,19,0,0,5,3,0,1
"D1","06/08/05","FC Koln","Mainz",1,0,"H",0,0,"D",0,14,19,0,0,0,0,5,2,31,38,0,0,2,3,0,0
"D1","06/08/05","Hamburg","Nurnberg",3,0,"H",2,0,"H",0,12,17,0,0,0,0,2,4,14,15,0,0,2,2,0,0
"D1","06/08/05","Hannover","Hertha",2,2,"D",0,0,"D",0,12,15,0,0,0,0,2,8,15,12,0,0,2,0,0,0
"D1","06/08/05","Werder Bremen","Bielefeld",5,2,"H",3,2,"H",0,17,10,0,0,0,0,5,2,14,14,0,0,0,1,0,0
"D1","06/08/05","Wolfsburg","Dortmund",2,2,"D",1,0,"H",0,12,16,0,0,0,0,5,6,18,11,0,0,2,1,0,0
"D1","07/08/05","Ein Frankfurt","Leverkusen",1,4,"A",1,1,"D",0,17,13,0,0,0,0,7,3,21,23,0,0,1,0,0,0
"D1","07/08/05","Schalke 04","Kaiserslautern",2,1,"H",0,1,"A",0,24,7,0,0,0,0,12,4,17,24,0,0,1,1,0,0
"D1","13/08/05","Bielefeld","Hamburg",0,2,"A",0,0,"D",0,14,13,0,0,0,0,2,3,22,20,0,0,3,3,0,0
"D1","13/08/05","Dortmund","Schalke 04",1,2,"A",1,1,"D",0,10,15,0,0,0,0,2,3,22,22,0,0,0,3,0,0
"D1","13/08/05","Hertha","Ein Frankfurt",2,0,"H",0,0,"D",0,13,12,0,0,0,0,9,2,19,23,0,0,3,2,0,0
"D1","13/08/05","Kaiserslautern","Duisburg",5,3,"H",2,1,"H",0,28,11,0,0,0,0,4,3,21,15,0,0,3,3,0,0
"D1","13/08/05","Leverkusen","Bayern Munich",2,5,"A",1,3,"A",0,15,13,0,0,0,0,7,1,13,12,0,0,1,0,0,0
"D1","13/08/05","M'gladbach","Wolfsburg",1,1,"D",0,1,"A",0,16,8,0,0,0,0,20,1,16,23,0,0,1,3,0,1
"D1","13/08/05","Nurnberg","Hannover",1,1,"D",0,1,"A",0,23,13,0,0,0,0,4,6,8,18,0,0,0,3,0,0
"D1","14/08/05","Mainz","Werder Bremen",0,2,"A",0,1,"A",0,15,11,0,0,0,0,5,12,13,26,0,0,2,4,0,0
"D1","14/08/05","Stuttgart","FC Koln",2,3,"A",0,1,"A",0,19,14,0,0,0,0,10,3,21,20,0,0,3,6,0,1
"D1","27/08/05","Bayern Munich","Hertha",3,0,"H",0,0,"D",0,18,7,0,0,0,0,5,3,15,27,0,0,0,5,0,0
"D1","27/08/05","Ein Frankfurt","Nurnberg",1,0,"H",0,0,"D",0,11,11,0,0,0,0,13,4,19,18,0,0,2,2,0,0
"D1","27/08/05","FC Koln","Kaiserslautern",2,3,"A",0,1,"A",0,17,16,0,0,0,0,11,5,12,21,0,0,3,3,0,0
"D1","27/08/05","Hamburg","Hannover",1,1,"D",1,1,"D",0,18,10,0,0,0,0,9,4,20,16,0,0,1,4,0,0
"D1","27/08/05","Schalke 04","M'gladbach",1,1,"D",0,1,"A",0,23,6,0,0,0,0,6,1,16,21,0,0,1,3,0,0
"D1","27/08/05","Werder Bremen","Stuttgart",1,1,"D",1,0,"H",0,23,11,0,0,0,0,6,4,21,20,0,0,2,2,0,0
"D1","27/08/05","Wolfsburg","Leverkusen",2,1,"H",1,1,"D",0,11,13,0,0,0,0,10,5,15,16,0,0,4,1,0,2
"D1","28/08/05","Bielefeld","Mainz",2,0,"H",2,0,"H",0,6,18,0,0,0,0,3,6,28,23,0,0,2,3,0,0
