"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","15/08/08","Bayern Munich","Hamburg",2,2,"D",2,1,"H",0,16,13,3,3,0,0,2,2,16,26,0,0,1,4,0,0
"D1","16/08/08","Bielefeld","Werder Bremen",2,2,"D",0,0,"D",0,13,17,5,5,0,0,4,4,18,13,0,0,2,2,0,0
"D1","16/08/08","Cottbus","Hoffenheim",0,3,"A",0,1,"A",0,14,17,1,8,0,0,4,2,21,32,0,0,2,2,0,0
"D1","16/08/08","Karlsruhe","Bochum",1,0,"H",1,0,"H",0,16,12,3,1,0,0,1,4,20,22,0,0,2,4,0,0
"D1","16/08/08","Leverkusen","Dortmund",2,3,"A",1,2,"A",0,19,11,9,4,0,0,7,3,13,20,0,0,3,2,0,0
"D1","16/08/08","Schalke 04","Hannover",3,0,"H",2,0,"H",0,11,11,5,4,0,0,6,7,19,17,0,0,1,2,0,0
"D1","16/08/08","Wolfsburg","FC Koln",2,1,"H",0,1,"A",0,17,4,9,2,0,0,10,3,10,13,0,0,0,2,0,0
"D1","17/08/08","Ein Frankfurt","Hertha",0,2,"A",0,1,"A",0,18,5,1,4,0,0,11,2,7,19,0,0,0,1,0,0
"D1","17/08/08","M'gladbach","Stuttgart",1,3,"A",0,3,"A",0,14,20,6,6,0,0,4,3,20,15,0,0,3,2,0,0
"D1","22/08/08","Hannover","Cottbus",0,0,"D",0,0,"D",0,13,6,6,4,0,0,6,1,17,25,0,0,4,3,0,1
"D1","23/08/08","Dortmund","Bayern Munich",1,1,"D",1,0,"H",0,16,16,6,3,0,0,6,14,24,17,0,0,2,3,0,1
"D1","23/08/08","Hamburg","Karlsruhe",2,1,"H",1,0,"H",0,12,10,3,5,0,0,6,6,17,18,0,0,2,3,0,0
"D1","23/08/08","Hertha","Bielefeld",1,1,"D",1,1,"D",0,27,6,5,2,0,0,11,3,8,19,0,0,1,3,0,0
"D1","23/08/08","Hoffenheim","M'gladbach",1,0,"H",1,0,"H",0,24,7,10,2,0,0,11,2,17,27,0,0,1,4,0,0
"D1","23/08/08","Stuttgart","Leverkusen",0,2,"A",0,1,"A",0,9,16,1,7,0,0,3,7,10,23,0,0,1,4,0,0
"D1","23/08/08","Werder Bremen","Schalke 04",1,1,"D",0,0,"D",0,15,14,7,5,0,0,5,6,17,12,0,0,0,1,0,0
"D1","24/08/08","Bochum","Wolfsburg",2,2,"D",1,0,"H",0,9,18,3,6,0,0,3,6,22,22,0,0,2,5,0,0
"D1","24/08/08","FC Koln","Ein Frankfurt",1,1,"D",1,0,"H",0,7,9,2,1,0,0,0,2,20,19,0,0,4,2,0,0
"D1","29/08/08","Karlsruhe","FC Koln",0,2,"A",0,0,"D",0,12,10,2,3,0,0,3,5,13,14,0,0,1,0,0,0
"D1","30/08/08","Bielefeld","Hamburg",2,4,"A",2,1,"H",0,14,19,7,5,0,0,4,4,13,21,0,0,2,2,0,0
"D1","30/08/08","Cottbus","Dortmund",0,1,"A",0,1,"A",0,13,15,1,4,0,0,3,4,20,15,0,0,1,1,0,0
"D1","30/08/08","Leverkusen","Hoffenheim",5,2,"H",3,1,"H",0,16,12,8,3,0,0,7,3,14,22,0,0,0,2,0,0
"D1","30/08/08","M'gladbach","Werder Bremen",3,2,"H",2,0,"H",0,13,25,6,14,0,0,5,7,16,14,0,0,2,4,0,0
"D1","30/08/08","Schalke 04","Bochum",1,0,"H",1,0,"H",0,20,10,6,2,0,0,7,9,11,27,0,0,0,1,0,1
"D1","30/08/08","Wolfsburg","Ein Frankfurt",2,2,"D",1,1,"D",0,15,14,4,4,0,0,6,4,28,20,0,0,2,2,0,0
"D1","31/08/08","Bayern Munich","Hertha",4,1,"H",1,0,"H",0,19,9,8,3,0,0,11,1,19,16,0,0,0,3,0,0
"D1","31/08/08","Stuttgart","Hannover",2,0,"H",2,0,"H",0,14,12,7,5,0,0,4,6,13,19,0,0,1,1,0,0
"D1","13/09/08","Dortmund","Schalke 04",3,3,"D",0,2,"A",0,17,9,6,4,0,0,5,0,21,19,0,0,3,1,0,2
"D1","13/09/08","FC Koln","Bayern Munich",0,3,"A",0,0,"D",0,7,11,2,4,0,0,3,5,13,19,0,0,1,0,0,0
"D1","13/09/08","Hamburg","Leverkusen",3,2,"H",1,2,"A",0,16,11,5,2,0,0,13,2,11,20,0,0,2,1,0,1
"D1","13/09/08","Hertha","Wolfsburg",2,2,"D",0,1,"A",0,13,13,5,5,0,0,4,5,17,17,0,0,2,0,0,0
"D1","13/09/08","Hoffenheim","Stuttgart",0,0,"D",0,0,"D",0,18,16,6,4,0,0,7,3,16,24,0,0,4,4,0,0
"D1","13/09/08","Werder Bremen","Cottbus",3,0,"H",0,0,"D",0,25,6,8,2,0,0,8,2,17,31,0,0,0,2,0,0
"D1","14/09/08","Bochum","Bielefeld",2,0,"H",2,0,"H",0,18,11,6,2,0,0,5,5,22,16,0,0,2,0,0,0
"D1","14/09/08","Hannover","M'gladbach",5,1,"H",2,0,"H",0,15,9,7,5,0,0,5,3,16,16,0,0,3,4,0,0
"D1","19/09/08","Leverkusen","Hannover",4,0,"H",2,0,"H",0,20,4,12,0,0,0,8,1,17,12,0,0,0,3,0,0
"D1","20/09/08","Bayern Munich","Werder Bremen",2,5,"A",0,2,"A",0,22,10,7,5,0,0,8,2,18,17,0,0,1,2,0,0
"D1","20/09/08","Bielefeld","FC Koln",2,0,"H",0,0,"D",0,14,9,5,1,0,0,2,7,14,24,0,0,0,3,0,0
"D1","20/09/08","Cottbus","Bochum",1,1,"D",1,0,"H",0,8,14,4,7,0,0,8,8,22,26,0,0,2,4,0,0
"D1","20/09/08","M'gladbach","Hertha",0,1,"A",0,1,"A",0,15,11,4,4,0,0,12,2,12,20,0,0,0,2,0,0
"D1","20/09/08","Schalke 04","Ein Frankfurt",1,0,"H",1,0,"H",0,22,8,6,3,0,0,11,3,17,17,0,0,0,3,0,1
"D1","21/09/08","Hoffenheim","Dortmund",4,1,"H",2,0,"H",0,18,10,10,3,0,0,1,7,15,23,0,0,0,1,0,0
"D1","21/09/08","Stuttgart","Karlsruhe",3,1,"H",1,1,"D",0,15,8,7,1,0,0,2,6,18,19,0,0,2,3,0,0
"D1","21/09/08","Wolfsburg","Hamburg",3,0,"H",3,0,"H",0,6,11,4,1,0,0,2,5,20,23,0,0,2,3,0,0
"D1","26/09/08","FC Koln","Schalke 04",1,0,"H",1,0,"H",0,19,6,7,0,0,0,6,6,15,17,0,0,2,3,0,0
"D1","27/09/08","Bochum","Leverkusen",2,3,"A",0,2,"A",0,25,17,12,8,0,0,13,1,20,16,0,0,3,0,1,0
