"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","20/08/10","Bayern Munich","Wolfsburg",2,1,"H",1,0,"H",0,17,11,5,5,0,0,9,3,6,25,0,0,1,3,0,0
"D1","21/08/10","FC Koln","Kaiserslautern",1,3,"A",1,0,"H",0,10,17,4,6,0,0,5,6,10,25,0,0,1,2,1,0
"D1","21/08/10","Freiburg","St Pauli",1,3,"A",0,0,"D",0,9,17,3,7,0,0,3,6,12,13,0,0,0,0,0,0
"D1","21/08/10","Hamburg","Schalke 04",2,1,"H",0,0,"D",0,18,13,6,4,0,0,7,4,11,17,0,0,2,0,0,1
"D1","21/08/10","Hannover","Ein Frankfurt",2,1,"H",1,1,"D",0,13,17,7,3,0,0,2,6,9,14,0,0,0,1,0,0
"D1","21/08/10","Hoffenheim","Werder Bremen",4,1,"H",4,1,"H",0,10,10,7,2,0,0,5,5,24,16,0,0,1,2,0,0
"D1","21/08/10","M'gladbach","Nurnberg",1,1,"D",1,1,"D",0,12,10,5,5,0,0,6,5,15,18,0,0,1,1,0,0
"D1","22/08/10","Dortmund","Leverkusen",0,2,"A",0,2,"A",0,14,15,6,4,0,0,8,1,20,13,0,0,0,0,0,0
"D1","22/08/10","Mainz","Stuttgart",2,0,"H",1,0,"H",0,17,14,6,5,0,0,5,4,16,13,0,0,4,1,0,0
"D1","27/08/10","Kaiserslautern","Bayern Munich",2,0,"H",2,0,"H",0,11,20,2,3,0,0,7,7,24,13,0,0,0,1,1,0
"D1","28/08/10","Ein Frankfurt","Hamburg",1,3,"A",1,0,"H",0,12,14,7,4,0,0,4,6,12,12,0,0,2,1,0,0
"D1","28/08/10","Nurnberg","Freiburg",1,2,"A",1,1,"D",0,17,5,4,3,0,0,4,2,12,28,0,0,2,1,0,0
"D1","28/08/10","Schalke 04","Hannover",1,2,"A",0,1,"A",0,15,11,5,4,0,0,15,1,10,22,0,0,2,2,0,0
"D1","28/08/10","St Pauli","Hoffenheim",0,1,"A",0,0,"D",0,12,8,4,3,0,0,5,9,16,16,0,0,2,0,0,0
"D1","28/08/10","Werder Bremen","FC Koln",4,2,"H",2,1,"H",0,17,11,9,5,0,0,6,7,14,18,0,0,1,2,0,0
"D1","28/08/10","Wolfsburg","Mainz",3,4,"A",3,1,"H",0,8,13,4,4,0,0,5,5,11,19,0,0,3,3,0,0
"D1","29/08/10","Leverkusen","M'gladbach",3,6,"A",1,3,"A",0,12,16,6,10,0,0,4,8,12,11,0,0,1,1,0,0
"D1","29/08/10","Stuttgart","Dortmund",1,3,"A",0,3,"A",0,11,16,5,9,0,0,7,3,16,18,0,0,0,2,0,0
"D1","10/09/10","Hoffenheim","Schalke 04",2,0,"H",1,0,"H",0,23,14,8,5,0,0,3,6,18,16,0,0,1,1,0,0
"D1","11/09/10","Bayern Munich","Werder Bremen",0,0,"D",0,0,"D",0,14,13,7,3,0,0,11,4,14,13,0,0,0,0,0,0
"D1","11/09/10","Dortmund","Wolfsburg",2,0,"H",0,0,"D",0,20,6,10,1,0,0,4,0,18,23,0,0,2,3,0,0
"D1","11/09/10","Freiburg","Stuttgart",2,1,"H",0,1,"A",0,19,18,5,8,0,0,6,7,20,17,0,0,1,1,0,0
"D1","11/09/10","Hamburg","Nurnberg",1,1,"D",0,0,"D",0,7,10,2,3,0,0,4,2,12,18,0,0,3,3,0,0
"D1","11/09/10","Hannover","Leverkusen",2,2,"D",1,0,"H",0,9,12,3,4,0,0,6,5,18,14,0,0,2,4,1,0
"D1","11/09/10","M'gladbach","Ein Frankfurt",0,4,"A",0,2,"A",0,16,11,5,6,0,0,9,6,18,12,0,0,3,2,0,0
"D1","12/09/10","FC Koln","St Pauli",1,0,"H",1,0,"H",0,15,11,6,1,0,0,6,10,19,15,0,0,3,3,0,0
"D1","12/09/10","Mainz","Kaiserslautern",2,1,"H",0,1,"A",0,16,10,5,4,0,0,2,7,12,25,0,0,1,5,0,0
