"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","07/08/09","Wolfsburg","Stuttgart",2,0,"H",0,0,"D",0,13,14,7,4,0,0,6,3,12,12,0,0,0,0,0,0
"D1","08/08/09","Dortmund","FC Koln",1,0,"H",0,0,"D",0,24,7,11,0,0,0,16,1,8,10,0,0,0,1,0,0
"D1","08/08/09","Hertha","Hannover",1,0,"H",0,0,"D",0,10,15,4,3,0,0,5,3,16,20,0,0,3,2,0,0
"D1","08/08/09","Hoffenheim","Bayern Munich",1,1,"D",1,1,"D",0,9,9,1,3,0,0,3,10,10,28,0,0,0,2,0,0
"D1","08/08/09","Mainz","Leverkusen",2,2,"D",1,2,"A",0,8,13,4,7,0,0,3,5,22,28,0,0,1,2,0,0
"D1","08/08/09","Nurnberg","Schalke 04",1,2,"A",0,1,"A",0,14,9,3,5,0,0,9,6,14,21,0,0,2,1,0,0
"D1","08/08/09","Werder Bremen","Ein Frankfurt",2,3,"A",2,2,"D",0,22,15,10,8,0,0,9,3,18,20,0,0,1,2,1,0
"D1","09/08/09","Bochum","M'gladbach",3,3,"D",0,3,"A",0,28,10,8,7,0,0,11,5,13,21,0,0,3,1,0,1
"D1","09/08/09","Freiburg","Hamburg",1,1,"D",0,1,"A",0,17,14,6,3,0,0,12,6,22,19,0,0,2,1,0,0
"D1","15/08/09","Bayern Munich","Werder Bremen",1,1,"D",0,1,"A",0,9,10,4,1,0,0,5,2,13,9,0,0,1,0,0,0
"D1","15/08/09","Ein Frankfurt","Nurnberg",1,1,"D",1,0,"H",0,12,21,6,6,0,0,4,6,12,8,0,0,1,1,0,0
"D1","15/08/09","FC Koln","Wolfsburg",1,3,"A",0,0,"D",0,13,20,6,9,0,0,4,6,17,13,0,0,1,0,0,0
"D1","15/08/09","Hamburg","Dortmund",4,1,"H",3,1,"H",0,18,12,9,4,0,0,10,3,16,17,0,0,0,1,0,0
"D1","15/08/09","Hannover","Mainz",1,1,"D",0,0,"D",0,13,8,6,3,0,0,8,3,18,17,0,0,0,2,0,0
"D1","15/08/09","Leverkusen","Hoffenheim",1,0,"H",0,0,"D",0,14,3,5,2,0,0,6,2,20,22,0,0,3,2,0,0
"D1","15/08/09","Stuttgart","Freiburg",4,2,"H",0,0,"D",0,13,13,5,5,0,0,3,5,10,23,0,0,2,3,0,0
"D1","16/08/09","M'gladbach","Hertha",2,1,"H",1,0,"H",0,20,21,9,6,0,0,7,5,9,12,0,0,2,2,0,0
"D1","16/08/09","Schalke 04","Bochum",3,0,"H",2,0,"H",0,18,11,6,2,0,0,9,3,22,16,0,0,1,2,0,0
"D1","21/08/09","Hoffenheim","Schalke 04",0,0,"D",0,0,"D",0,17,3,3,0,0,0,6,4,24,28,0,0,4,4,0,0
"D1","22/08/09","Dortmund","Stuttgart",1,1,"D",1,0,"H",0,13,16,5,5,0,0,4,9,21,12,0,0,2,2,0,0
"D1","22/08/09","FC Koln","Ein Frankfurt",0,0,"D",0,0,"D",0,15,11,1,2,0,0,8,6,12,23,0,0,4,3,0,1
"D1","22/08/09","Freiburg","Leverkusen",0,5,"A",0,1,"A",0,15,12,1,7,0,0,10,2,11,17,0,0,1,2,0,0
"D1","22/08/09","Mainz","Bayern Munich",2,1,"H",2,0,"H",0,17,19,8,6,0,0,2,6,17,10,0,0,0,0,0,0
"D1","22/08/09","Nurnberg","Hannover",0,2,"A",0,1,"A",0,7,16,0,7,0,0,6,5,10,18,0,0,2,2,0,0
"D1","23/08/09","Bochum","Hertha",1,0,"H",0,0,"D",0,15,9,3,7,0,0,10,3,10,29,0,0,1,2,0,0
"D1","23/08/09","Werder Bremen","M'gladbach",3,0,"H",2,0,"H",0,20,6,10,3,0,0,3,4,14,25,0,0,1,3,0,0
"D1","23/08/09","Wolfsburg","Hamburg",2,4,"A",0,2,"A",0,12,27,5,13,0,0,6,9,21,22,0,0,4,2,0,0
"D1","28/08/09","M'gladbach","Mainz",2,0,"H",1,0,"H",0,17,9,5,2,0,0,5,4,17,21,0,0,1,2,0,0
"D1","29/08/09","Bayern Munich","Wolfsburg",3,0,"H",1,0,"H",0,18,18,6,5,0,0,6,6,15,6,0,0,0,0,0,0
"D1","29/08/09","Ein Frankfurt","Dortmund",1,1,"D",0,0,"D",0,16,14,3,4,0,0,10,1,20,15,0,0,1,3,0,0
"D1","29/08/09","Hannover","Hoffenheim",0,1,"A",0,1,"A",0,13,11,3,4,0,0,8,6,19,23,0,0,0,2,0,0
"D1","29/08/09","Leverkusen","Bochum",2,1,"H",1,1,"D",0,32,5,8,2,0,0,5,2,14,21,0,0,2,3,0,0
"D1","29/08/09","Schalke 04","Freiburg",0,1,"A",0,1,"A",0,15,9,2,2,0,0,8,2,18,21,0,0,0,0,0,0
"D1","29/08/09","Stuttgart","Nurnberg",0,0,"D",0,0,"D",0,14,11,4,2,0,0,1,2,17,20,0,0,1,1,0,0
"D1","30/08/09","Hamburg","FC Koln",3,1,"H",1,0,"H",0,18,12,8,5,0,0,10,5,15,17,0,0,0,2,0,0
"D1","30/08/09","Hertha","Werder Bremen",2,3,"A",0,0,"D",0,18,18,5,11,0,0,5,8,13,12,0,0,0,1,0,0
"D1","12/09/09","Dortmund","Bayern Munich",1,5,"A",1,1,"D",0,8,9,2,9,0,0,2,3,12,14,0,0,0,0,0,0
"D1","12/09/09","Freiburg","Ein Frankfurt",0,2,"A",0,0,"D",0,14,11,6,3,0,0,5,1,22,18,0,0,2,4,0,0
"D1","12/09/09","Hamburg","Stuttgart",3,1,"H",1,0,"H",0,18,14,7,2,0,0,6,4,14,9,0,0,1,3,0,0
"D1","12/09/09","Hoffenheim","Bochum",3,0,"H",1,0,"H",0,21,6,9,0,0,0,8,1,18,23,0,0,0,4,0,0
"D1","12/09/09","Mainz","Hertha",2,1,"H",0,0,"D",0,10,8,6,3,0,0,3,2,12,11,0,0,2,2,0,0
