"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D2","27/07/01","Duisburg","Ahlen",1,4,"A",1,2,"A",12004,24,15,9,5,1,1,12,4,10,9,6,2,3,4,0,0
"D2","27/07/01","Greuther Furth","Oberhausen",2,2,"D",1,1,"D",7051,13,8,4,5,0,0,1,3,20,8,3,2,1,4,0,1
"D2","27/07/01","Saarbrucken","Mannheim",1,3,"A",0,2,"A",18000,6,6,3,4,0,0,6,3,17,15,4,5,4,2,0,0
"D2","28/07/01","Bielefeld","Babelsberg",0,1,"A",0,0,"D",10641,14,7,3,2,1,2,6,1,20,8,14,3,1,2,0,0
"D2","28/07/01","Ein Frankfurt","Reutlingen",3,1,"H",0,1,"A",17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0
"D2","29/07/01","Aachen","Mainz",0,2,"A",0,0,"D",12000,11,7,3,6,0,0,11,2,11,12,2,2,2,3,0,0
"D2","29/07/01","Karlsruhe","Schweinfurt",1,0,"H",0,0,"D",13000,11,8,6,4,0,0,7,1,12,13,2,5,2,3,0,0
"D2","29/07/01","Unterhaching","Bochum",0,2,"A",0,0,"D",5500,14,8,6,4,0,0,8,2,8,6,1,0,0,1,0,0
"D2","30/07/01","Union Berlin","Hannover",1,1,"D",0,0,"D",9072,14,11,2,3,1,0,5,4,19,22,3,0,3,3,0,1
"D2","03/08/01","Ahlen","Greuther Furth",1,0,"H",1,0,"H",7513,8,10,5,4,1,1,6,7,29,26,3,1,2,3,0,0
"D2","03/08/01","Oberhausen","Union Berlin",0,3,"A",0,1,"A",6000,9,8,3,3,0,0,10,2,10,9,2,0,2,2,0,0
"D2","03/08/01","Schweinfurt","Saarbrucken",2,1,"H",1,1,"D",7152,13,19,9,8,0,1,3,5,17,16,0,1,2,4,0,0
"D2","04/08/01","Bochum","Karlsruhe",1,1,"D",1,1,"D",13000,8,7,2,6,0,0,4,2,9,17,1,2,3,2,1,0
"D2","04/08/01","Reutlingen","Bielefeld",2,3,"A",1,2,"A",6970,7,10,3,9,0,0,7,4,13,11,1,1,1,2,0,0
"D2","05/08/01","Babelsberg","Duisburg",3,1,"H",1,1,"D",7200,13,10,8,5,1,0,4,7,9,10,3,3,1,2,0,0
"D2","05/08/01","Hannover","Aachen",3,0,"H",3,0,"H",15872,18,0,7,0,2,0,9,2,15,18,2,1,2,2,0,2
"D2","05/08/01","Mainz","Unterhaching",2,0,"H",2,0,"H",6500,13,6,6,1,0,0,3,4,18,10,3,0,2,2,0,0
"D2","06/08/01","Mannheim","Ein Frankfurt",0,0,"D",0,0,"D",18000,13,9,5,2,0,0,3,0,16,23,1,2,1,4,0,0
"D2","10/08/01","Bielefeld","Mannheim",5,0,"H",3,0,"H",12097,26,12,18,5,1,0,8,6,17,22,1,1,2,1,0,0
"D2","10/08/01","Bochum","Mainz",2,1,"H",2,1,"H",12000,15,12,8,6,2,0,5,7,6,11,2,0,1,2,0,0
"D2","10/08/01","Duisburg","Reutlingen",3,3,"D",1,1,"D",6100,13,15,6,8,0,0,4,6,17,20,1,3,0,3,1,0
"D2","11/08/01","Aachen","Oberhausen",2,1,"H",1,1,"D",9200,7,5,3,2,0,0,2,2,12,14,1,1,0,3,0,0
"D2","11/08/01","Union Berlin","Ahlen",5,0,"H",1,0,"H",8706,7,4,5,1,0,0,9,3,16,14,0,0,0,2,0,0
"D2","12/08/01","Ein Frankfurt","Schweinfurt",2,0,"H",0,0,"D",18500,14,8,6,5,0,1,2,5,18,18,0,4,1,1,0,0
"D2","12/08/01","Greuther Furth","Babelsberg",1,0,"H",1,0,"H",6300,15,12,5,7,1,0,4,4,11,12,0,0,0,1,0,0
"D2","12/08/01","Unterhaching","Hannover",1,1,"D",0,0,"D",4000,11,17,6,9,0,0,0,7,16,13,1,1,1,1,0,0
"D2","13/08/01","Karlsruhe","Saarbrucken",2,0,"H",1,0,"H",15000,11,12,4,5,0,1,3,5,20,25,5,2,1,3,0,0
"D2","17/08/01","Oberhausen","Unterhaching",0,2,"A",0,0,"D",3311,9,10,2,4,1,0,6,7,17,21,2,0,2,2,0,0
"D2","17/08/01","Reutlingen","Greuther Furth",0,1,"A",0,1,"A",7000,12,5,8,3,0,0,6,2,9,10,0,0,5,1,0,1
"D2","17/08/01","Schweinfurt","Bielefeld",1,0,"H",0,0,"D",11153,11,12,6,7,1,0,7,11,13,13,4,4,2,2,0,0
"D2","18/08/01","Babelsberg","Union Berlin",3,2,"H",0,1,"A",15500,12,13,6,4,1,0,2,3,25,8,5,4,4,2,0,0
"D2","18/08/01","Saarbrucken","Ein Frankfurt",0,2,"A",0,1,"A",10500,11,6,2,3,0,0,2,1,7,8,0,0,2,2,0,0
"D2","19/08/01","Ahlen","Aachen",1,0,"H",1,0,"H",6510,14,9,8,4,1,0,4,8,19,23,5,6,3,4,0,0
