"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","24/08/12","Dortmund","Werder Bremen",2,1,"H",1,0,"H",0,19,10,6,3,0,0,7,2,18,14,0,0,2,2,0,0
"D1","25/08/12","Augsburg","Fortuna Dusseldorf",0,2,"A",0,0,"D",0,16,9,4,4,0,0,3,0,16,14,0,0,3,2,0,0
"D1","25/08/12","Ein Frankfurt","Leverkusen",2,1,"H",0,1,"A",0,20,19,4,10,0,0,6,7,15,22,0,0,1,2,0,0
"D1","25/08/12","Freiburg","Mainz",1,1,"D",0,0,"D",0,8,8,4,3,0,0,9,8,14,13,0,0,0,2,0,0
"D1","25/08/12","Greuther Furth","Bayern Munich",0,3,"A",0,1,"A",0,6,19,2,9,0,0,2,4,21,13,0,0,2,2,0,0
"D1","25/08/12","Hamburg","Nurnberg",0,1,"A",0,0,"D",0,11,18,5,8,0,0,9,6,16,20,0,0,4,2,0,0
"D1","25/08/12","M'gladbach","Hoffenheim",2,1,"H",1,0,"H",0,7,14,3,8,0,0,6,4,9,6,0,0,2,0,0,0
"D1","26/08/12","Hannover","Schalke 04",2,2,"D",1,0,"H",0,9,15,2,7,0,0,3,6,12,16,0,0,1,3,0,0
"D1","26/08/12","Stuttgart","Wolfsburg",0,1,"A",0,0,"D",0,10,13,5,3,0,0,7,6,16,23,0,0,1,0,0,0
"D1","31/08/12","Mainz","Greuther Furth",0,1,"A",0,0,"D",0,11,7,3,2,0,0,8,0,17,23,0,0,1,3,0,0
"D1","01/09/12","Fortuna Dusseldorf","M'gladbach",0,0,"D",0,0,"D",0,5,13,0,4,0,0,5,4,15,23,0,0,3,2,0,0
"D1","01/09/12","Hoffenheim","Ein Frankfurt",0,4,"A",0,2,"A",0,7,17,3,5,0,0,2,5,16,17,0,0,1,2,2,0
"D1","01/09/12","Leverkusen","Freiburg",2,0,"H",1,0,"H",0,14,8,10,1,0,0,5,4,19,24,0,0,1,1,0,0
"D1","01/09/12","Nurnberg","Dortmund",1,1,"D",1,1,"D",0,6,18,3,6,0,0,4,11,12,17,0,0,2,2,0,0
"D1","01/09/12","Schalke 04","Augsburg",3,1,"H",1,0,"H",0,12,22,6,4,0,0,6,5,11,14,0,0,1,2,0,0
