"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","09/08/13","Bayern Munich","M'gladbach",3,1,"H",2,1,"H",0,26,11,9,4,0,0,6,4,12,11,0,0,1,3,0,0
"D1","10/08/13","Augsburg","Dortmund",0,4,"A",0,1,"A",0,11,13,4,9,0,0,5,6,18,12,0,0,2,0,0,0
"D1","10/08/13","Braunschweig","Werder Bremen",0,1,"A",0,0,"D",0,13,12,3,4,0,0,2,7,10,18,0,0,1,0,0,0
"D1","10/08/13","Hannover","Wolfsburg",2,0,"H",1,0,"H",0,20,15,8,4,0,0,7,2,28,11,0,0,4,0,0,2
"D1","10/08/13","Hertha","Ein Frankfurt",6,1,"H",2,1,"H",0,16,10,9,4,0,0,5,4,19,18,0,0,0,2,0,0
"D1","10/08/13","Hoffenheim","Nurnberg",2,2,"D",1,0,"H",0,23,12,8,5,0,0,6,9,17,17,0,0,1,4,0,0
"D1","10/08/13","Leverkusen","Freiburg",3,1,"H",1,1,"D",0,18,8,6,3,0,0,5,2,11,16,0,0,2,2,0,0
"D1","11/08/13","Mainz","Stuttgart",3,2,"H",1,1,"D",0,9,15,7,10,0,0,2,8,15,13,0,0,2,4,0,0
"D1","11/08/13","Schalke 04","Hamburg",3,3,"D",2,2,"D",0,19,16,8,6,0,0,3,7,15,11,0,0,1,2,0,0
"D1","17/08/13","Ein Frankfurt","Bayern Munich",0,1,"A",0,1,"A",0,9,15,3,7,0,0,6,5,9,17,0,0,1,1,0,0
"D1","17/08/13","Freiburg","Mainz",1,2,"A",0,0,"D",0,9,12,3,8,0,0,2,4,17,7,0,0,0,3,0,0
"D1","17/08/13","Hamburg","Hoffenheim",1,5,"A",1,1,"D",0,8,18,4,7,0,0,2,4,15,22,0,0,2,2,0,0
"D1","17/08/13","M'gladbach","Hannover",3,0,"H",1,0,"H",0,17,16,8,4,0,0,1,3,9,19,0,0,1,4,0,0
"D1","17/08/13","Stuttgart","Leverkusen",0,1,"A",0,1,"A",0,17,13,3,3,0,0,10,3,13,15,0,0,3,2,0,0
"D1","17/08/13","Werder Bremen","Augsburg",1,0,"H",1,0,"H",0,5,20,2,4,0,0,3,7,16,14,0,0,3,4,0,0
"D1","17/08/13","Wolfsburg","Schalke 04",4,0,"H",0,0,"D",0,20,6,8,2,0,0,11,3,18,16,0,0,0,2,0,0
"D1","18/08/13","Dortmund","Braunschweig",2,1,"H",0,0,"D",0,24,8,6,3,0,0,4,3,8,12,0,0,0,1,0,0
"D1","18/08/13","Nurnberg","Hertha",2,2,"D",1,0,"H",0,11,12,5,5,0,0,4,5,16,17,0,0,5,2,0,0
"D1","23/08/13","Dortmund","Werder Bremen",1,0,"H",0,0,"D",0,32,7,8,1,0,0,7,2,14,13,0,0,0,0,0,0
"D1","24/08/13","Bayern Munich","Nurnberg",2,0,"H",0,0,"D",0,26,5,9,1,0,0,10,1,13,8,0,0,3,1,0,0
"D1","24/08/13","Hannover","Schalke 04",2,1,"H",2,0,"H",0,14,8,6,2,0,0,7,1,19,23,0,0,2,0,1,2
