"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D2","11/08/06","Burghausen","Karlsruhe",0,4,"A",0,1,"A",0,23,18,11,13,0,0,6,3,16,14,0,0,1,1,0,0
"D2","11/08/06","Kaiserslautern","Essen",1,0,"H",1,0,"H",0,14,12,8,7,0,0,3,7,29,17,0,0,3,3,0,0
"D2","11/08/06","Offenbach","CZ Jena",2,2,"D",2,0,"H",0,10,17,6,13,0,0,4,5,27,21,0,0,2,3,0,0
"D2","13/08/06","Braunschweig","Paderborn",0,0,"D",0,0,"D",0,8,8,4,3,0,0,4,2,19,25,0,0,2,3,0,0
"D2","13/08/06","Duisburg","Koblenz",2,1,"H",1,0,"H",0,14,8,10,4,0,0,4,6,32,29,0,0,3,3,0,0
"D2","13/08/06","Erzgebirge Aue","Unterhaching",1,0,"H",0,0,"D",0,10,7,9,2,0,0,5,6,29,12,0,0,2,2,0,0
"D2","13/08/06","Freiburg","Hansa Rostock",0,0,"D",0,0,"D",0,20,5,10,1,0,0,6,6,19,23,0,0,2,1,0,1
"D2","13/08/06","Greuther Furth","Munich 1860",1,1,"D",0,0,"D",0,11,9,6,4,0,0,2,6,22,26,0,0,2,2,0,0
"D2","14/08/06","Augsburg","FC Koln",0,2,"A",0,1,"A",0,15,11,5,6,0,0,8,6,6,18,0,0,0,3,0,0
"D2","18/08/06","CZ Jena","Braunschweig",0,0,"D",0,0,"D",0,13,10,6,4,0,0,2,6,24,20,0,0,3,4,0,0
"D2","18/08/06","Hansa Rostock","Erzgebirge Aue",1,0,"H",1,0,"H",0,12,10,5,5,0,0,8,2,25,19,0,0,2,1,0,0
"D2","18/08/06","Munich 1860","Offenbach",3,0,"H",0,0,"D",0,12,9,5,5,0,0,3,3,26,17,0,0,4,2,0,0
"D2","20/08/06","Essen","Freiburg",2,0,"H",1,0,"H",0,11,15,5,3,0,0,2,10,22,28,0,0,3,2,0,0
"D2","20/08/06","FC Koln","Burghausen",5,1,"H",3,0,"H",0,24,9,13,3,0,0,8,5,17,18,0,0,0,3,0,0
"D2","20/08/06","Koblenz","Greuther Furth",1,0,"H",0,0,"D",0,11,5,5,1,0,0,5,2,19,23,0,0,1,0,0,0
"D2","20/08/06","Paderborn","Augsburg",1,0,"H",0,0,"D",0,11,9,7,5,0,0,11,2,11,13,0,0,0,1,0,0
"D2","20/08/06","Unterhaching","Duisburg",0,1,"A",0,1,"A",0,9,15,4,6,0,0,10,7,11,25,0,0,0,4,0,0
"D2","21/08/06","Karlsruhe","Kaiserslautern",2,0,"H",1,0,"H",0,16,17,6,11,0,0,6,7,21,22,0,0,1,4,0,1
"D2","25/08/06","CZ Jena","FC Koln",3,2,"H",2,2,"D",0,11,16,11,11,0,0,3,5,20,29,0,0,0,1,0,0
"D2","25/08/06","Freiburg","Unterhaching",1,1,"D",0,0,"D",0,26,6,15,3,0,0,11,1,18,22,0,0,2,1,0,0
